food,calories_per_100g
apple pie,237
baby back ribs,292
baklava,429
beef carpaccio,217
beef tartare,196
beet salad,43
beignets,347
bibimbap,121
bread pudding,153
breakfast burrito,206
bruschetta,195
caesar salad,158
cannoli,302
caprese salad,166
carrot cake,415
ceviche,97
cheesecake,321
cheese plate,368
chicken curry,119
chicken quesadilla,206
chicken wings,203
chocolate cake,371
chocolate mousse,168
churros,117
clam chowder,59
club sandwich,282
crab cakes,155
creme brulee,338
croque madame,224
cup cakes,305
deviled eggs,155
donuts,452
dumplings,41
edamame,121
eggs benedict,230
escargots,90
falafel,333
filet mignon,277
fish and chips,199
foie gras,462
french fries,365
french onion soup,57
french toast,166
fried calamari,175
fried rice,163
frozen yogurt,127
garlic bread,350
gnocchi,131
greek salad,114
grilled cheese sandwich,282
grilled salmon,231
guacamole,160
gyoza,64
hamburger,295
hot and sour soup,45
hot dog,290
huevos rancheros,144
hummus,166
ice cream,207
lasagna,135
lobster bisque,104
lobster roll sandwich,436
macaroni and cheese,164
macarons,407
miso soup,40
mussels,172
nachos,346
omelette,154
onion rings,411
oysters,68
pad thai,153
paella,190
pancakes,227
panna cotta,185
peking duck,337
pho,46
pizza,266
pork chop,231
poutine,347
prime rib,291
pulled pork sandwich,225
ramen,436
ravioli,175
red velvet cake,361
risotto,174
samosa,262
sashimi,127
scallops,137
seaweed salad,70
shrimp and grits,151
spaghetti bolognese,151
spaghetti carbonara,167
spring rolls,140
steak,271
strawberry shortcake,263
sushi,130
tacos,226
takoyaki,162
tiramisu,240
tuna tartare,144
waffles,291
pakoda,250
bhaji,245
vada,280
kachori,300
dhokla,160
