food,calorie,protein,carbs,fat
apple pie,237,9,30,9
baby back ribs,292,11,37,11
baklava,429,16,53,17
beef carpaccio,217,8,28,8
beef tartare,196,7,24,8
beet salad,43,2,4,2
beignets,347,13,44,13
bibimbap,121,5,14,5
bread pudding,153,6,18,6
breakfast burrito,206,8,25,8
bruschetta,195,7,23,8
caesar salad,158,6,20,6
cannoli,302,11,37,12
caprese salad,166,6,22,6
carrot cake,415,16,51,16
ceviche,97,4,11,4
cheesecake,321,12,41,12
cheese plate,368,14,46,14
chicken curry,119,4,14,5
chicken quesadilla,206,8,25,8
chicken wings,203,8,24,8
chocolate cake,371,14,47,14
chocolate mousse,168,6,20,7
churros,117,4,14,5
clam chowder,59,2,8,2
club sandwich,282,11,34,11
crab cakes,155,6,19,6
creme brulee,338,13,42,13
croque madame,224,8,27,9
cup cakes,305,11,38,12
deviled eggs,155,6,19,6
donuts,452,17,55,18
dumplings,41,2,3,2
edamame,121,5,14,5
eggs benedict,230,9,28,9
escargots,90,3,12,3
falafel,333,12,42,13
filet mignon,277,10,34,11
fish and chips,199,7,24,8
foie gras,462,17,58,18
french fries,365,14,45,14
french onion soup,57,2,7,2
french toast,166,6,22,6
fried calamari,175,7,21,7
fried rice,163,6,21,6
frozen yogurt,127,5,15,5
garlic bread,350,13,43,14
gnocchi,131,5,16,5
greek salad,114,4,15,4
grilled cheese sandwich,282,11,34,11
grilled salmon,231,9,28,9
guacamole,160,6,20,6
gyoza,64,2,9,2
hamburger,295,11,38,11
hot and sour soup,45,2,4,2
hot dog,290,11,36,11
huevos rancheros,144,5,17,6
hummus,166,6,22,6
ice cream,207,8,25,8
lasagna,135,5,17,5
lobster bisque,104,4,13,4
lobster roll sandwich,436,16,54,17
macaroni and cheese,164,6,21,6
macarons,407,15,50,16
miso soup,40,2,3,2
mussels,172,6,21,7
nachos,346,13,44,13
omelette,154,6,19,6
onion rings,411,15,51,16
oysters,68,3,7,3
pad thai,153,6,18,6
paella,190,7,24,7
pancakes,227,9,27,9
panna cotta,185,7,23,7
peking duck,337,13,42,13
pho,46,2,5,2
pizza,266,10,34,10
pork chop,231,9,28,9
poutine,347,13,44,13
prime rib,291,11,37,11
pulled pork sandwich,225,8,28,9
ramen,436,16,54,17
ravioli,175,7,21,7
red velvet cake,361,14,44,14
risotto,174,7,20,7
samosa,262,10,33,10
sashimi,127,5,15,5
scallops,137,5,18,5
seaweed salad,70,3,7,3
shrimp and grits,151,6,18,6
spaghetti bolognese,151,6,18,6
spaghetti carbonara,167,6,22,6
spring rolls,140,5,18,5
steak,271,10,33,11
strawberry shortcake,263,10,33,10
sushi,130,5,16,5
tacos,226,8,28,9
takoyaki,162,6,21,6
tiramisu,240,9,30,9
tuna tartare,144,5,17,6
waffles,291,11,37,11
pakoda,250,9,31,10
bhaji,245,9,29,10
vada,280,10,35,11
kachori,300,11,37,12
dhokla,160,6,20,6






food,calorie
apple pie,237
baby back ribs,292
baklava,429
beef carpaccio,217
beef tartare,196
beet salad,43
beignets,347
bibimbap,121
bread pudding,153
breakfast burrito,206
bruschetta,195
caesar salad,158
cannoli,302
caprese salad,166
carrot cake,415
ceviche,97
cheesecake,321
cheese plate,368
chicken curry,119
chicken quesadilla,206
chicken wings,203
chocolate cake,371
chocolate mousse,168
churros,117
clam chowder,59
club sandwich,282
crab cakes,155
creme brulee,338
croque madame,224
cup cakes,305
deviled eggs,155
donuts,452
dumplings,41
edamame,121
eggs benedict,230
escargots,90
falafel,333
filet mignon,277
fish and chips,199
foie gras,462
french fries,365
french onion soup,57
french toast,166
fried calamari,175
fried rice,163
frozen yogurt,127
garlic bread,350
gnocchi,131
greek salad,114
grilled cheese sandwich,282
grilled salmon,231
guacamole,160
gyoza,64
hamburger,295
hot and sour soup,45
hot dog,290
huevos rancheros,144
hummus,166
ice cream,207
lasagna,135
lobster bisque,104
lobster roll sandwich,436
macaroni and cheese,164
macarons,407
miso soup,40
mussels,172
nachos,346
omelette,154
onion rings,411
oysters,68
pad thai,153
paella,190
pancakes,227
panna cotta,185
peking duck,337
pho,46
pizza,266
pork chop,231
poutine,347
prime rib,291
pulled pork sandwich,225
ramen,436
ravioli,175
red velvet cake,361
risotto,174
samosa,262
sashimi,127
scallops,137
seaweed salad,70
shrimp and grits,151
spaghetti bolognese,151
spaghetti carbonara,167
spring rolls,140
steak,271
strawberry shortcake,263
sushi,130
tacos,226
takoyaki,162
tiramisu,240
tuna tartare,144
waffles,291
pakoda,250
bhaji,245
vada,280
kachori,300
dhokla,160
